1.047992425333298949e-01,2.870830819427153680e-01,7.283242835283468830e-01,6.668011803815860894e-01,0.000000000000000000e+00,2.087244943522958696e-01,1.122311380495904370e-01,6.977168769114378000e-01,1.618653284827844818e-01
1.235396813607722993e-01,2.493157430938132690e-01,8.625408267414769181e-01,8.955555487356725575e-01,0.000000000000000000e+00,9.861809574745609153e-01,6.039776909863340398e-02,8.430563642689600234e-01,1.892732872418711743e-01
3.566323654311855940e-01,2.210254795693687990e-01,4.430877445199662423e-01,5.675557124580797863e-01,0.000000000000000000e+00,8.999061141061062141e-01,9.270565808843410638e-01,3.365352515152230392e-04,1.776132807785105183e-01
8.194728654440694982e-01,8.608893365396055319e-01,3.707078043924065258e-01,2.378995941139081804e-01,0.000000000000000000e+00,2.805616846064312719e-01,7.672025780133936435e-01,4.773659674480512649e-01,3.641058952857701564e-02
9.042537371875614127e-01,1.127370139734336363e-01,5.287549474976105390e-01,9.034503395230724099e-01,0.000000000000000000e+00,3.042670011674548577e-02,6.154301074247110481e-01,8.436228951960594857e-02,1.639548888574517416e-01
5.950092081310449643e-01,3.305955102246566080e-01,1.908336019745927037e-01,5.775577171080606975e-01,0.000000000000000000e+00,7.232113566962163065e-02,4.186335513177973922e-01,3.390270209359587672e-01,1.563558975570313869e-01
7.541143748398998481e-01,3.616501848969252281e-02,6.688857477073095747e-01,5.768131836959815573e-01,0.000000000000000000e+00,3.241530187143856767e-01,5.200201854316259809e-01,5.146499166843945261e-01,1.095919257310541128e-01
5.585158564269218084e-01,4.811831866179512862e-01,3.141245370479724963e-01,1.731011782604517935e-01,0.000000000000000000e+00,8.758622877552074693e-01,4.791065061391595881e-02,2.679733403871785158e-01,4.226298090712878042e-02
2.662528085431246083e-01,7.985369938200505002e-01,4.454771994766550947e-01,1.037290643744263746e-01,0.000000000000000000e+00,4.575305362169746620e-02,9.792993250388324356e-01,9.614317413779758237e-01,2.145757867973529034e-02
8.960785437157601230e-01,3.545191332508220716e-01,1.923295122820719294e-01,4.513856950123857903e-01,0.000000000000000000e+00,1.108887097112162129e-01,3.155537526952923999e-01,2.960136867795848392e-01,8.813012899466189654e-02
